,name,menu,feature,address,img
0,봄날,"한정식, 간장게장","정갈한, 저렴한가격, 혼밥",역서울특별시 강남구 대치동 898-1,https://d2t7cq5f1ua57i.cloudfront.net/images/r_images/52255/54063/52255_54063_89_0_3981_2018118125616631_200x200.jpg
1,군산횟집,"활어회, 간장게장",,동서울시 강남구 대치동 968-2,https://d2t7cq5f1ua57i.cloudfront.net/images/r_images/53072/55966/53072_55966_85_0_1647_20155548377_200x200.jpg
2,애간장,"한정식, 간장게장",깔끔한,역서울특별시 강남구 대치2동 944-29,https://d2t7cq5f1ua57i.cloudfront.net/images/r_images/55317/54884/55317_54884_86_0_3971_20171315195100_200x200.jpg
3,이승재참치,"숙성참치, 참치, 간장게장","고급진, 참치해체, 회식하기좋은",역서울특별시 강남구 대치동 900-4,https://d2t7cq5f1ua57i.cloudfront.net/images/r_images/54326/50311/54326_50311_86_0_1468_201882045553688_200x200.jpg
